"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","02","08","15","4","20231110120318-Zahlen.fs","20231110120741"
"GdP23","02","08","15","4","20231110120750-Zahlen.fs","20231112045328"
"GdP23","02","01","4","4","20231110120909-Zahlen.fs","20231110124258"
"GdP23","02","01","4","4","20231110124308-Zahlen.fs","20231110124744"
"GdP23","02","01","4","4","20231110124803-Zahlen.fs","20231110125005"
"GdP23","02","01","4","4","20231110125010-Zahlen.fs","20231110125131"
"GdP23","02","01","4","4","20231110125134-Zahlen.fs","20231111081422"
"GdP23","02","03","5","4","20231110132315-Zahlen.fs","20231110132732"
"GdP23","02","05","14","4","20231110150737-Zahlen.fs","20231110150827"
"GdP23","02","05","14","4","20231110150827-Zahlen.fs","20231110151915"
"GdP23","02","05","14","4","20231110151915-Zahlen.fs","20231110152102"
"GdP23","02","05","14","4","20231110152102-Zahlen.fs","20231110152415"
"GdP23","02","05","14","4","20231110152415-Zahlen.fs","20231110152726"
"GdP23","02","05","14","4","20231110152726-Zahlen.fs","20231110152856"
"GdP23","02","05","14","4","20231110152856-Zahlen.fs","20231110152941"
"GdP23","02","05","14","4","20231110152941-Zahlen.fs","20231113174355"
"GdP23","02","09","4","4","20231110183900-Zahlen.fs","20231113185608"
"GdP23","02","01","4","4","20231111081422-Zahlen.fs","20231111081617"
"GdP23","02","01","4","4","20231111081617-Zahlen.fs","20231111081649"
"GdP23","02","01","4","4","20231111081649-Zahlen.fs","20231111081750"
"GdP23","02","01","4","4","20231111081750-Zahlen.fs","20231111081810"
"GdP23","02","01","4","4","20231111081810-Zahlen.fs","20231111081853"
"GdP23","02","07","4","4","20231111112828-Zahlen.fs","20231111112843"
"GdP23","02","01","8","4","20231111131817-Zahlen.fs","20231111132052"
"GdP23","02","05","7","4","20231111172545-Zahlen.fs","20231111172640"
"GdP23","02","05","7","4","20231111172642-Aufgabe-02-4","20231111172839"
"GdP23","02","05","7","4","20231111172855-Zahlen.fs","20231112101821"
"GdP23","02","02","9","4","20231111194434-Aufgabe-02-4.zip","20231111194453"
"GdP23","02","02","9","4","20231111194713-Zahlen.fs","20231111201144"
"GdP23","02","04","20","3","20231111203240-B02_A02_Weis.pdf","20231111231250"
